type,canonical,alias,language,category,confidence,notes
category,phone,phone,en,phone,0.95,
category,phone,telephone,fr,phone,0.93,
category,phone,téléphone,fr,phone,0.95,
category,phone,telephone,typo,phone,0.85,missing accent
category,phone,smartphone,en,phone,0.96,
category,phone,smart phone,typo,phone,0.85,split word
category,phone,portable,fr,phone,0.85,colloquial FR for mobile phone
category,phone,هاتف,ar,phone,0.93,
category,phone,جوال,ar,phone,0.88,
category,phone,هاتف ذكي,ar,phone,0.92,
category,phone,hatif,darija_latin,phone,0.80,transliteration
category,phone,portabl,darija_latin,phone,0.88,darija for phone
category,phone,le portable,fr,phone,0.84,
category,phone,nat fone,typo,phone,0.70,phonetic typo
category,phone,smarfone,typo,phone,0.75,misspelling
category,phone,telefon,typo,phone,0.78,misspelling
category,phone,hatifi,darija_latin,phone,0.72,"my phone, inflected"
category,smartphone,smartphone,en,phone,0.96,
category,smartphone,smart phone,typo,phone,0.85,
category,smartphone,téléphone intelligent,fr,phone,0.80,formal FR term
category,smartphone,haouatif dki,darija_latin,phone,0.70,rare transliteration
category,smartphone,جوال ذكي,ar,phone,0.85,
category,tablet,tablet,en,tablet,0.95,
category,tablet,tablette,fr,tablet,0.95,
category,tablet,tablete,typo,tablet,0.85,missing accent
category,tablet,tablett,typo,tablet,0.78,double t typo
category,tablet,لوحة,ar,tablet,0.85,
category,tablet,ipad,brand_model,tablet,0.93,generic use of brand as category term
category,tablet,tabla,darija_latin,tablet,0.78,colloquial
category,laptop,laptop,en,laptop,0.96,
category,laptop,ordinateur portable,fr,laptop,0.95,
category,laptop,pc portable,fr,laptop,0.94,
category,laptop,ordinateur,fr,laptop,0.85,generic computer term
category,laptop,labtop,typo,laptop,0.85,common misspelling
category,laptop,laptob,typo,laptop,0.75,misspelling
category,laptop,lap top,typo,laptop,0.80,split word
category,laptop,حاسوب محمول,ar,laptop,0.90,
category,laptop,لابتوب,ar,laptop,0.92,arabic transliteration
category,laptop,labtob,darija_latin,laptop,0.82,darija transliteration
category,laptop,ordi,fr,laptop,0.80,colloquial FR
category,laptop,ordi portable,fr,laptop,0.85,
category,pc,pc,en,pc,0.93,
category,pc,desktop,en,pc,0.92,
category,pc,ordinateur de bureau,fr,pc,0.93,
category,pc,ordinateur fixe,fr,pc,0.88,
category,pc,حاسوب مكتبي,ar,pc,0.88,
category,pc,pc bureau,typo,pc,0.80,abbreviated
category,pc,disktop,typo,pc,0.72,misspelling
category,gaming_pc,gaming pc,en,gaming,0.95,
category,gaming_pc,pc gamer,fr,gaming,0.95,
category,gaming_pc,pc gaming,fr,gaming,0.90,
category,gaming_pc,setup gamer,fr,gaming,0.82,colloquial
category,gaming_pc,pc de jeu,fr,gaming,0.80,
category,gaming_pc,gemin pc,typo,gaming,0.70,misspelling
category,gaming_pc,pc lel gaming,darija_latin,gaming,0.75,
category,monitor,monitor,en,monitor,0.94,
category,monitor,écran,fr,monitor,0.95,
category,monitor,ecran,fr,monitor,0.93,missing accent
category,monitor,écran pc,fr,monitor,0.88,
category,monitor,شاشة,ar,monitor,0.92,
category,monitor,chacha,darija_latin,monitor,0.78,darija for screen
category,monitor,ecran dial pc,darija_latin,monitor,0.75,
category,monitor,monitr,typo,monitor,0.72,misspelling
category,keyboard,keyboard,en,keyboard,0.94,
category,keyboard,clavier,fr,keyboard,0.95,
category,keyboard,claviée,typo,keyboard,0.70,misspelling
category,keyboard,لوحة مفاتيح,ar,keyboard,0.88,
category,keyboard,klavie,darija_latin,keyboard,0.78,darija transliteration
category,keyboard,keybord,typo,keyboard,0.78,misspelling
category,mouse,mouse,en,mouse,0.93,
category,mouse,souris,fr,mouse,0.95,
category,mouse,souri,typo,mouse,0.80,missing s
category,mouse,فأرة,ar,mouse,0.86,
category,mouse,mouss,darija_latin,mouse,0.75,darija transliteration
category,mouse,maouss,darija_latin,mouse,0.72,
category,headphones,headphones,en,headphones,0.93,
category,headphones,headphone,en,headphones,0.90,
category,headphones,casque,fr,headphones,0.95,
category,headphones,casque audio,fr,headphones,0.93,
category,headphones,سماعات,ar,headphones,0.90,
category,headphones,sm3at,darija_latin,headphones,0.80,darija transliteration
category,headphones,sma3at,darija_latin,headphones,0.82,darija transliteration
category,headphones,hedfon,typo,headphones,0.72,misspelling
category,headphones,casq,typo,headphones,0.75,abbreviated typo
category,earbuds,earbuds,en,earbuds,0.93,
category,earbuds,écouteurs,fr,earbuds,0.95,
category,earbuds,ecouteurs,fr,earbuds,0.92,missing accent
category,earbuds,ecouteur,fr,earbuds,0.88,singular
category,earbuds,سماعات أذن,ar,earbuds,0.88,
category,earbuds,airpods,brand_model,earbuds,0.90,generic use of brand as category
category,earbuds,sma3at lwln,darija_latin,earbuds,0.72,
category,earbuds,ecoutör,typo,earbuds,0.70,misspelling
category,smartwatch,smartwatch,en,smartwatch,0.93,
category,smartwatch,montre intelligente,fr,smartwatch,0.92,
category,smartwatch,montre connectée,fr,smartwatch,0.93,
category,smartwatch,montre connectee,fr,smartwatch,0.88,missing accent
category,smartwatch,ساعة ذكية,ar,smartwatch,0.90,
category,smartwatch,smart watch,typo,smartwatch,0.85,split word
category,smartwatch,magana dakia,darija_latin,smartwatch,0.72,darija transliteration
category,camera,camera,en,camera,0.93,
category,camera,appareil photo,fr,camera,0.95,
category,camera,appareil photo numérique,fr,camera,0.88,
category,camera,كاميرا,ar,camera,0.92,
category,camera,kamira,darija_latin,camera,0.80,transliteration
category,camera,camera photo,typo,camera,0.78,redundant
category,printer,printer,en,printer,0.93,
category,printer,imprimante,fr,printer,0.95,
category,printer,imprimente,typo,printer,0.78,misspelling
category,printer,طابعة,ar,printer,0.90,
